goddess,mita,kameshvari,bhagamalini,nityaklinna,bherunda,vahnivsini,vajreshvari,shivaduti,tvarita,kulasundari,nitya,nilapataka,vijaya,sarvamangala,jvamalini,chitra,kali,kapalini,kulla,kurukulla,virodhini,vipracitta,ugra,ugraprabha,dipa,nila,ghana,balaka,matra,mudra,,,,,,,,,,,
moon day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,
cycle season 5-24,shine,shine,shine,shine,shine,shed,shed,shed,shed,shed,shed,shed,shed,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,rest,grow,grow,grow,grow,grow,grow,,,,,,,,,,,
moon season,new,new,new,new,waxing crescent,waxing crescent,waxing crescent,waxing crescent,first quarter,waxing gibbouswaxing gibbouswaxing gibbous,,,,full,full,full,full,full,full,full,full,waning gibbous,waning gibbous,waning gibbous,last quarter,waning crescent,waning crescent,waning crescent,waning crescent,new,,,witch color,bleed,mood,,,body phase,moon phase,hormone,mood
productivity 10-3-24 to 11-1-24,,9,6,5,,10,9,6,6,,9,,8,8,9,8,7,,,,,,,,,,,,,,,,pink moon ,waxing,"transformation and growth, clarity",,,follicular,waxing,estrogen,rebirth and envigoration
productivity 9-3-24 to 10-2-24,6,7,7,7,6,7,7,9,8,9,,8,7,,,7,7,6,9,8,7,8,6,10,8,7,,8,,9,,,red moon,full,"adventure, learning, creating, outward",,,ovulation,full,,creative and sexual
productivity 8-4-24 to 9-2-24,6,8,8,8,7,7,6,6,6,8,8,7,8,7,7,6,7,7,7,7,9,5,6,6,6,7,6,6,6,6,,,purple moon,waning,"finishing, tending, manifestation, shadow",,,luteal,waning,,calm and stable
productivity 7-4-24 to 8-3-24,6,7,8,9,5,7,7,5,7,5,6,8,8,8,7,6,7,8,6.5,8,8,10,9,10,8,9,9,8,7,6,,,white moon,new,"healing and caring, inward",,,menstruation,new,,intuition and inner strength
productivity 6-6-24 to 7-3-24,7,9,7,8,8,9,8,5,7,6,7,7,6,4,6,5,6,6,6,6,7,7,,,,8,6,7,6,7,,,,,,,,,,,
productivity 5-7-24 to 6-5-24,5,5,7,6,5,4,7,8,10,4,7,7,7,10,6,8,6,7,9,8,9,9,9,10,8,8,9,7,9,4,,,,,,,,,,,
productivity 4-9-24 to 5-6-24,7,10,7,5,5,10,6,5,8,10,8,8,10,9,8,10,10,4,6,6,8,10,5,5,7,9,5,8,7,5,,,,,,,,,,,
productivity 3-10-24 to 4-8-24,,,10,10,5,8,5,3,5,6,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,7,,,,,,,,,,,
